Year,Geography,Tenure,Age_Group,Household_Count,Avg_Household_Size,Median_Household_Size
2021,Canada    ,Total - Tenure,Total - Age group of primary household maintainer,14978940.0,2.43,2.0
2021,Canada    ,Total - Tenure,15 to 24 years,424695.0,1.98,2.0
2021,Canada    ,Total - Tenure,25 to 34 years,2077900.0,2.37,2.0
2021,Canada    ,Total - Tenure,35 to 44 years,2600000.0,3.15,3.02
2021,Canada    ,Total - Tenure,45 to 54 years,2646945.0,3.0,3.0
2021,Canada    ,Total - Tenure,55 to 64 years,3046565.0,2.28,2.0
2021,Canada    ,Total - Tenure,65 to 74 years,2432140.0,1.88,2.0
2021,Canada    ,Total - Tenure,75 years and over,1750700.0,1.66,2.0
2021,Canada    ,Owner,Total - Age group of primary household maintainer,9955975.0,2.61,2.02
2021,Canada    ,Owner,15 to 24 years,78845.0,1.97,2.0
2021,Canada    ,Owner,25 to 34 years,946155.0,2.65,2.02
2021,Canada    ,Owner,35 to 44 years,1667765.0,3.44,4.0
2021,Canada    ,Owner,45 to 54 years,1898275.0,3.22,3.02
2021,Canada    ,Owner,55 to 64 years,2284020.0,2.43,2.02
2021,Canada    ,Owner,65 to 74 years,1829885.0,2.0,2.0
2021,Canada    ,Owner,75 years and over,1251030.0,1.77,2.0
2021,Canada    ,Renter,Total - Age group of primary household maintainer,4953835.0,2.05,2.0
2021,Canada    ,Renter,15 to 24 years,342590.0,1.97,2.0
2021,Canada    ,Renter,25 to 34 years,1120690.0,2.12,2.0
2021,Canada    ,Renter,35 to 44 years,918990.0,2.63,2.02
2021,Canada    ,Renter,45 to 54 years,733980.0,2.41,2.0
2021,Canada    ,Renter,55 to 64 years,747980.0,1.8,1.01
2021,Canada    ,Renter,65 to 74 years,593825.0,1.51,1.01
2021,Canada    ,Renter,75 years and over,495785.0,1.37,1.01
2021,Newfoundland and Labrador    ,Total - Tenure,Total - Age group of primary household maintainer,223250.0,2.25,2.0
2021,Newfoundland and Labrador    ,Total - Tenure,15 to 24 years,5700.0,2.0,2.0
2021,Newfoundland and Labrador    ,Total - Tenure,25 to 34 years,24180.0,2.39,2.02
2021,Newfoundland and Labrador    ,Total - Tenure,35 to 44 years,31950.0,3.0,3.0
2021,Newfoundland and Labrador    ,Total - Tenure,45 to 54 years,39715.0,2.7,3.0
2021,Newfoundland and Labrador    ,Total - Tenure,55 to 64 years,48335.0,2.06,2.0
2021,Newfoundland and Labrador    ,Total - Tenure,65 to 74 years,44755.0,1.85,2.0
2021,Newfoundland and Labrador    ,Total - Tenure,75 years and over,28620.0,1.66,2.0
2021,Newfoundland and Labrador    ,Owner,Total - Age group of primary household maintainer,169015.0,2.34,2.0
2021,Newfoundland and Labrador    ,Owner,15 to 24 years,1040.0,1.96,2.0
2021,Newfoundland and Labrador    ,Owner,25 to 34 years,12865.0,2.57,2.02
2021,Newfoundland and Labrador    ,Owner,35 to 44 years,22465.0,3.18,3.02
2021,Newfoundland and Labrador    ,Owner,45 to 54 years,31540.0,2.85,3.0
2021,Newfoundland and Labrador    ,Owner,55 to 64 years,40075.0,2.17,2.0
2021,Newfoundland and Labrador    ,Owner,65 to 74 years,38020.0,1.92,2.0
2021,Newfoundland and Labrador    ,Owner,75 years and over,23010.0,1.74,2.0
2021,Newfoundland and Labrador    ,Renter,Total - Age group of primary household maintainer,53685.0,1.93,2.0
2021,Newfoundland and Labrador    ,Renter,15 to 24 years,4625.0,1.98,2.0
2021,Newfoundland and Labrador    ,Renter,25 to 34 years,11225.0,2.18,2.0
2021,Newfoundland and Labrador    ,Renter,35 to 44 years,9345.0,2.52,2.02
2021,Newfoundland and Labrador    ,Renter,45 to 54 years,8030.0,2.1,2.0
2021,Newfoundland and Labrador    ,Renter,55 to 64 years,8170.0,1.53,1.01
2021,Newfoundland and Labrador    ,Renter,65 to 74 years,6685.0,1.47,1.01
2021,Newfoundland and Labrador    ,Renter,75 years and over,5600.0,1.33,1.01
2021,Prince Edward Island    ,Total - Tenure,Total - Age group of primary household maintainer,64570.0,2.33,2.0
2021,Prince Edward Island    ,Total - Tenure,15 to 24 years,2460.0,2.22,2.0
2021,Prince Edward Island    ,Total - Tenure,25 to 34 years,8040.0,2.57,2.02
2021,Prince Edward Island    ,Total - Tenure,35 to 44 years,9535.0,3.23,3.02
2021,Prince Edward Island    ,Total - Tenure,45 to 54 years,10950.0,2.86,3.0
2021,Prince Edward Island    ,Total - Tenure,55 to 64 years,13400.0,2.07,2.0
2021,Prince Edward Island    ,Total - Tenure,65 to 74 years,12065.0,1.78,2.0
2021,Prince Edward Island    ,Total - Tenure,75 years and over,8120.0,1.6,2.0
2021,Prince Edward Island    ,Owner,Total - Age group of primary household maintainer,44420.0,2.5,2.02
2021,Prince Edward Island    ,Owner,15 to 24 years,430.0,1.87,2.0
2021,Prince Edward Island    ,Owner,25 to 34 years,4260.0,2.8,3.0
2021,Prince Edward Island    ,Owner,35 to 44 years,6635.0,3.48,4.0
2021,Prince Edward Island    ,Owner,45 to 54 years,8385.0,3.07,3.0
2021,Prince Edward Island    ,Owner,55 to 64 years,10410.0,2.22,2.0
2021,Prince Edward Island    ,Owner,65 to 74 years,9140.0,1.91,2.0
2021,Prince Edward Island    ,Owner,75 years and over,5150.0,1.76,2.0
2021,Prince Edward Island    ,Renter,Total - Age group of primary household maintainer,19990.0,1.94,2.0
2021,Prince Edward Island    ,Renter,15 to 24 years,2015.0,2.3,2.0
2021,Prince Edward Island    ,Renter,25 to 34 years,3760.0,2.3,2.0
2021,Prince Edward Island    ,Renter,35 to 44 years,2855.0,2.64,2.02
2021,Prince Edward Island    ,Renter,45 to 54 years,2525.0,2.17,2.0
2021,Prince Edward Island    ,Renter,55 to 64 years,2955.0,1.54,1.01
2021,Prince Edward Island    ,Renter,65 to 74 years,2915.0,1.39,1.01
2021,Prince Edward Island    ,Renter,75 years and over,2965.0,1.33,1.01
2021,Nova Scotia    ,Total - Tenure,Total - Age group of primary household maintainer,428225.0,2.23,2.0
2021,Nova Scotia    ,Total - Tenure,15 to 24 years,14490.0,2.02,2.0
2021,Nova Scotia    ,Total - Tenure,25 to 34 years,56105.0,2.33,2.0
2021,Nova Scotia    ,Total - Tenure,35 to 44 years,62340.0,2.99,3.0
2021,Nova Scotia    ,Total - Tenure,45 to 54 years,70060.0,2.73,3.0
2021,Nova Scotia    ,Total - Tenure,55 to 64 years,89710.0,2.07,2.0
2021,Nova Scotia    ,Total - Tenure,65 to 74 years,78640.0,1.8,2.0
2021,Nova Scotia    ,Total - Tenure,75 years and over,56880.0,1.61,2.0
2021,Nova Scotia    ,Owner,Total - Age group of primary household maintainer,285995.0,2.38,2.0
2021,Nova Scotia    ,Owner,15 to 24 years,2085.0,1.99,2.0
2021,Nova Scotia    ,Owner,25 to 34 years,23495.0,2.56,2.02
2021,Nova Scotia    ,Owner,35 to 44 years,40180.0,3.26,3.02
2021,Nova Scotia    ,Owner,45 to 54 years,51605.0,2.92,3.0
2021,Nova Scotia    ,Owner,55 to 64 years,68680.0,2.21,2.0
2021,Nova Scotia    ,Owner,65 to 74 years,59660.0,1.91,2.0
2021,Nova Scotia    ,Owner,75 years and over,40295.0,1.72,2.0
