Geography,Households_Examined,Households_In_Core_Need,Year
Canada,14355560.0,1451025.0,2021
  Newfoundland and Labrador,219510.0,17530.0,2021
    St. John's,88300.0,8160.0,2021
  Prince Edward Island,62600.0,4370.0,2021
  Nova Scotia,413310.0,41470.0,2021
    Halifax,194025.0,23090.0,2021
  New Brunswick,328695.0,20240.0,2021
    Moncton,65840.0,4910.0,2021
    Saint John,55000.0,3385.0,2021
    Fredericton,44905.0,3235.0,2021
  Quebec,3652980.0,218270.0,2021
    Montréal,1788865.0,141755.0,2021
    Québec CMA,381065.0,17870.0,2021
    Saguenay,73810.0,1875.0,2021
    Sherbrooke,102945.0,3965.0,2021
    Trois-Rivières,75275.0,2475.0,2021
    Drummondville,44955.0,1610.0,2021
    Ottawa - Gatineau (Quebec part),148325.0,7765.0,2021
  Ontario,5272360.0,639810.0,2021
    Barrie,76405.0,8825.0,2021
    Brantford,54560.0,5185.0,2021
    Belleville,45270.0,5040.0,2021
    Greater Sudbury,71965.0,5920.0,2021
    Guelph,62530.0,6335.0,2021
    Hamilton,298895.0,34555.0,2021
    Kingston,71190.0,6785.0,2021
    Kitchener - Cambridge - Waterloo,212950.0,19265.0,2021
    London,214935.0,22080.0,2021
    Oshawa,145745.0,16170.0,2021
    Ottawa - Gatineau (Ontario/Quebec),589620.0,55250.0,2021
    Ottawa - Gatineau (Ontario part),441295.0,47480.0,2021
    Peterborough,51120.0,5930.0,2021
    St. Catharines - Niagara,174690.0,18550.0,2021
    Thunder Bay,52850.0,4425.0,2021
    Toronto,2159300.0,348505.0,2021
    Windsor,161685.0,12940.0,2021
  Manitoba,483350.0,48815.0,2021
    Winnipeg,321375.0,35755.0,2021
  Saskatchewan,408295.0,41890.0,2021
    Regina,97730.0,9585.0,2021
    Saskatoon,121505.0,12075.0,2021
  Alberta,1557725.0,154230.0,2021
    Calgary,547240.0,53635.0,2021
    Red Deer,39795.0,3750.0,2021
    Lethbridge,47230.0,4235.0,2021
    Edmonton,532725.0,56290.0,2021
  British Columbia,1915750.0,257090.0,2021
    Abbotsford - Mission,64990.0,6355.0,2021
