Geography,Household_Type,Total_Households,Owner_Households,Renter_Households,Year
Canada    ,Total - Household type,14978940.0,9955975.0,4953835.0,2021
Canada    ,Family households2,9917255.0,7545725.0,2319305.0,2021
Canada    ,One-family households,9596380.0,7280380.0,2271160.0,2021
Canada    ,Couple family households with children,4078170.0,3309555.0,749890.0,2021
Canada    ,Couple family households without children,4010385.0,3150370.0,853055.0,2021
Canada    ,One-parent family households,1507825.0,820460.0,668215.0,2021
Canada    ,Multiple-family households,320870.0,265345.0,48145.0,2021
Canada    ,Non-family households3,5061690.0,2410245.0,2634535.0,2021
Canada    ,One-person households,4394495.0,2166030.0,2214470.0,2021
Canada    ,Two-or-more-person non-family households,667190.0,244215.0,420060.0,2021
Newfoundland and Labrador    ,Total - Household type,223250.0,169015.0,53685.0,2021
Newfoundland and Labrador    ,Family households2,152875.0,127505.0,24895.0,2021
Newfoundland and Labrador    ,One-family households,150030.0,124955.0,24670.0,2021
Newfoundland and Labrador    ,Couple family households with children,53300.0,46620.0,6480.0,2021
Newfoundland and Labrador    ,Couple family households without children,74255.0,65090.0,9080.0,2021
Newfoundland and Labrador    ,One-parent family households,22465.0,13250.0,9110.0,2021
Newfoundland and Labrador    ,Multiple-family households,2845.0,2550.0,225.0,2021
Newfoundland and Labrador    ,Non-family households3,70380.0,41510.0,28790.0,2021
Newfoundland and Labrador    ,One-person households,62250.0,37535.0,24660.0,2021
Newfoundland and Labrador    ,Two-or-more-person non-family households,8125.0,3975.0,4130.0,2021
Prince Edward Island    ,Total - Household type,64570.0,44420.0,19990.0,2021
Prince Edward Island    ,Family households2,42655.0,33910.0,8625.0,2021
Prince Edward Island    ,One-family households,41860.0,33215.0,8535.0,2021
Prince Edward Island    ,Couple family households with children,16225.0,13950.0,2215.0,2021
Prince Edward Island    ,Couple family households without children,19475.0,15700.0,3755.0,2021
Prince Edward Island    ,One-parent family households,6160.0,3565.0,2560.0,2021
Prince Edward Island    ,Multiple-family households,795.0,695.0,95.0,2021
Prince Edward Island    ,Non-family households3,21915.0,10510.0,11360.0,2021
Prince Edward Island    ,One-person households,18615.0,9385.0,9195.0,2021
Prince Edward Island    ,Two-or-more-person non-family households,3300.0,1120.0,2170.0,2021
Nova Scotia    ,Total - Household type,428225.0,285995.0,139410.0,2021
Nova Scotia    ,Family households2,274430.0,211445.0,60980.0,2021
Nova Scotia    ,One-family households,268810.0,206665.0,60305.0,2021
Nova Scotia    ,Couple family households with children,93460.0,77965.0,14895.0,2021
Nova Scotia    ,Couple family households without children,130820.0,104105.0,26450.0,2021
Nova Scotia    ,One-parent family households,44530.0,24590.0,18960.0,2021
Nova Scotia    ,Multiple-family households,5620.0,4780.0,680.0,2021
Nova Scotia    ,Non-family households3,153795.0,74550.0,78430.0,2021
Nova Scotia    ,One-person households,131820.0,66995.0,64120.0,2021
Nova Scotia    ,Two-or-more-person non-family households,21975.0,7555.0,14310.0,2021
New Brunswick    ,Total - Household type,337650.0,246455.0,88455.0,2021
New Brunswick    ,Family households2,222175.0,182625.0,37735.0,2021
New Brunswick    ,One-family households,217650.0,178535.0,37390.0,2021
New Brunswick    ,Couple family households with children,77620.0,67485.0,9555.0,2021
New Brunswick    ,Couple family households without children,106200.0,89860.0,15975.0,2021
New Brunswick    ,One-parent family households,33825.0,21190.0,11855.0,2021
New Brunswick    ,Multiple-family households,4530.0,4090.0,345.0,2021
