Date,Geography,DelinquencyRate
2012-07-01,Canada,0.38
2012-07-01,Newfoundland,0.24
2012-07-01,Prince Edward Island,0.57
2012-07-01,Nova Scotia,0.53
2012-07-01,New Brunswick,0.63
2012-07-01,Québec,0.33
2012-07-01,Ontario,0.31
2012-07-01,Manitoba,0.25
2012-07-01,Saskatchewan,0.37
2012-07-01,Alberta,0.60
2012-07-01,British Columbia,0.42
2012-07-01,St. John's,0.18
2012-07-01,Charlottetown,0.46
2012-07-01,Halifax,0.37
2012-07-01,Moncton,0.64
2012-07-01,Saint John,0.50
2012-07-01,Saguenay,0.22
2012-07-01,Québec City,0.14
2012-07-01,Sherbrooke,0.31
2012-07-01,Trois-Riviéres,0.37
2012-07-01,Montréal,0.33
2012-07-01,Ottawa-Gatineau,0.21
2012-07-01,Kingston,0.31
2012-07-01,Peterborough,0.41
2012-07-01,Oshawa,0.37
2012-07-01,Toronto,0.24
2012-07-01,Hamilton,0.29
2012-07-01,St. Catharines-Niagara,0.54
2012-07-01,Kitchener-Cambridge-Waterloo,0.28
2012-07-01,Brantford,0.42
2012-07-01,Guelph,0.21
2012-07-01,London,0.39
2012-07-01,Windsor,0.54
2012-07-01,Barrie,0.42
2012-07-01,Greater Sudbury,0.34
2012-07-01,Thunder Bay,0.33
2012-07-01,Winnipeg,0.20
2012-07-01,Regina,0.28
2012-07-01,Saskatoon,0.26
2012-07-01,Calgary,0.59
2012-07-01,Edmonton,0.60
2012-07-01,Kelowna,0.68
2012-07-01,Abbotsford-Mission,0.68
2012-07-01,Vancouver,0.29
2012-07-01,Victoria,0.31
2012-10-01,Canada,0.37
2012-10-01,Newfoundland,0.22
2012-10-01,Prince Edward Island,0.50
2012-10-01,Nova Scotia,0.53
2012-10-01,New Brunswick,0.63
2012-10-01,Québec,0.33
2012-10-01,Ontario,0.31
2012-10-01,Manitoba,0.27
2012-10-01,Saskatchewan,0.37
2012-10-01,Alberta,0.55
2012-10-01,British Columbia,0.42
2012-10-01,St. John's,0.18
2012-10-01,Charlottetown,0.31
2012-10-01,Halifax,0.36
2012-10-01,Moncton,0.64
2012-10-01,Saint John,0.50
2012-10-01,Saguenay,0.22
2012-10-01,Québec City,0.15
2012-10-01,Sherbrooke,0.29
2012-10-01,Trois-Riviéres,0.34
2012-10-01,Montréal,0.33
2012-10-01,Ottawa-Gatineau,0.22
2012-10-01,Kingston,0.28
2012-10-01,Peterborough,0.38
2012-10-01,Oshawa,0.32
2012-10-01,Toronto,0.23
2012-10-01,Hamilton,0.31
2012-10-01,St. Catharines-Niagara,0.54
2012-10-01,Kitchener-Cambridge-Waterloo,0.28
2012-10-01,Brantford,0.49
2012-10-01,Guelph,0.15
2012-10-01,London,0.40
2012-10-01,Windsor,0.53
2012-10-01,Barrie,0.39
2012-10-01,Greater Sudbury,0.35
2012-10-01,Thunder Bay,0.32
2012-10-01,Winnipeg,0.22
2012-10-01,Regina,0.30
2012-10-01,Saskatoon,0.28
2012-10-01,Calgary,0.52
2012-10-01,Edmonton,0.56
2012-10-01,Kelowna,0.63
2012-10-01,Abbotsford-Mission,0.63
2012-10-01,Vancouver,0.29
2012-10-01,Victoria,0.35
2013-01-01,Canada,0.37
2013-01-01,Newfoundland,0.25
2013-01-01,Prince Edward Island,0.55
2013-01-01,Nova Scotia,0.55
2013-01-01,New Brunswick,0.65
2013-01-01,Québec,0.35
2013-01-01,Ontario,0.31
2013-01-01,Manitoba,0.28
2013-01-01,Saskatchewan,0.36
2013-01-01,Alberta,0.52
2013-01-01,British Columbia,0.43
2013-01-01,St. John's,0.19
2013-01-01,Charlottetown,0.35
2013-01-01,Halifax,0.36
2013-01-01,Moncton,0.67
2013-01-01,Saint John,0.56
2013-01-01,Saguenay,0.23
2013-01-01,Québec City,0.16
2013-01-01,Sherbrooke,0.28
2013-01-01,Trois-Riviéres,0.34
2013-01-01,Montréal,0.35
2013-01-01,Ottawa-Gatineau,0.22
2013-01-01,Kingston,0.32
2013-01-01,Peterborough,0.37
2013-01-01,Oshawa,0.27
2013-01-01,Toronto,0.23
2013-01-01,Hamilton,0.30
2013-01-01,St. Catharines-Niagara,0.55
2013-01-01,Kitchener-Cambridge-Waterloo,0.26
2013-01-01,Brantford,0.43
2013-01-01,Guelph,0.23
2013-01-01,London,0.39
2013-01-01,Windsor,0.51
2013-01-01,Barrie,0.39
2013-01-01,Greater Sudbury,0.38
2013-01-01,Thunder Bay,0.33
2013-01-01,Winnipeg,0.23
2013-01-01,Regina,0.31
2013-01-01,Saskatoon,0.28
2013-01-01,Calgary,0.48
2013-01-01,Edmonton,0.53
2013-01-01,Kelowna,0.55
2013-01-01,Abbotsford-Mission,0.66
2013-01-01,Vancouver,0.31
2013-01-01,Victoria,0.39
2013-04-01,Canada,0.35
2013-04-01,Newfoundland,0.19
2013-04-01,Prince Edward Island,0.47
2013-04-01,Nova Scotia,0.56
2013-04-01,New Brunswick,0.60
2013-04-01,Québec,0.34
2013-04-01,Ontario,0.29
2013-04-01,Manitoba,0.26
2013-04-01,Saskatchewan,0.34
2013-04-01,Alberta,0.47
2013-04-01,British Columbia,0.43
2013-04-01,St. John's,0.12
2013-04-01,Charlottetown,0.32
2013-04-01,Halifax,0.37
2013-04-01,Moncton,0.53
2013-04-01,Saint John,0.65
2013-04-01,Saguenay,0.21
2013-04-01,Québec City,0.15
2013-04-01,Sherbrooke,0.30
2013-04-01,Trois-Riviéres,0.33
2013-04-01,Montréal,0.33
2013-04-01,Ottawa-Gatineau,0.24
2013-04-01,Kingston,0.33
2013-04-01,Peterborough,0.31
2013-04-01,Oshawa,0.26
